"Archive Date","Associated Streets","Collection Date","Data Type","Intersection Number","Neighborhood Code","Original File Name","Site Location","Street Name","Study Period","Study Type"
"09/29/2016 08:00:00 PM","","06-21-2016","VOLUME","","EAST BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MERIDIAN ST_477_EB_24HR_ATR_VOL_06212016.XLS","477","MERIDIAN ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"09/29/2016 08:00:00 PM","","06-21-2016","VOLUME","","ALLSTON BRIGHTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WESTERN AVE_111_AB_24HR_ATR_VOL_06212016.XLS","111","WESTERN AVE","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"09/29/2016 08:00:00 PM","","01-27-2016","SPEED","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\MASSACHUSETTS AVE_250_BP_24HR_ATR_SPD_01272016.XLS","250","MASSACHUSETTS AVE","24 HOURS","AUTOMATED TRAFFIC RECORDING"
"12/19/2016 07:00:00 PM","","09-27-2016","CLASSIFICATION","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\SEAPORT BLVD_55_SB_72HR_ATR_CLS_09272016.XLS","55","SEAPORT BLVD","72 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/19/2016 07:00:00 PM","","09-27-2016","VOLUME","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\SOUTH HUNTINGTON AVE_351_WR_48HR_ATR_VOL_09272016.XLS","351","SOUTH HUNTINGTON AVE","48 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/19/2016 07:00:00 PM","","09-27-2016","VOLUME","","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WARREN ST_162_RX_72HR_ATR_VOL_09272016.XLS","162","WARREN ST","72 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/19/2016 07:00:00 PM","","09-27-2016","XXX","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WASHINGTON ST_1000_BP_72HR_ATR_XXX_09272016.PDF","1000","WASHINGTON ST","72 HOURS","AUTOMATED TRAFFICE RECORDING"
"08/03/2017 08:00:00 PM","","07-27-2017","XXX","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\POPLAR ST_220_WR_24HR_ATR_XXX_07272017.XLSX","220","POPLAR ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"10/09/2017 08:00:00 PM","AMERICAN LEGION HWY, FRANKLIN HILL AVE","09-26-2017","","1301","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1301_AMERICAN LEGION HWY, FRANKLIN HILL AVE_DO_11HR_TMC_09262017.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"10/30/2017 08:00:00 PM","FISHER AVE, PARKER ST","10-17-2017","","1198","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1198_FISHER AVE, PARKER ST_RX_11HR_TMC_10172017.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"10/30/2017 08:00:00 PM","BYRON ST, COLRIDGE ST","09-26-2017","","2580","EAST BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_2580_BYRON ST, COLRIDGE ST_EB_11HR_TMC_09262017.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"10/30/2017 08:00:00 PM","WALNUT ST, OAKMAN ST","10-17-2017","","2583","DORCHESTER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_2583_WALNUT ST, OAKMAN ST_DO_11HR_TMC_10172017.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"05/03/2018 08:00:00 PM","WASHINGTON ST, WILLIAMS ST","10-28-2015","","1285","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_1285_WASHINGTON ST, WILLIAMS ST_WR_12HR_TMC_10282015.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"12/06/2018 07:00:00 PM","","10-11-2018","XXX","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\CUSTER ST_45_WR_24HR_ATR_XXX_10112018.XLSX","45","CUSTER ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/06/2018 07:00:00 PM","","10-15-2018","XXX","","WEST ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\CONWAY ST_9_WR_24HR_ATR_XXX_10152018.XLSX","9","CONWAY ST","24 HOURS","AUTOMATED TRAFFICE RECORDING"
"12/09/2018 07:00:00 PM","","09-27-2018","CLASSIFICATION","","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\ATR\WASHINGTON ST_972_BP_48HR_ATR_CLS_09272018.XLS","972","WASHINGTON ST","48 HOURS","AUTOMATED TRAFFICE RECORDING"
